t,     mx,           my,            mz
9.08e-10, 0.23508277, 0.93787576, -0.25498679
9.1e-10, 0.24321911, 0.94338202, -0.22531461
9.12e-10, 0.25142789, 0.94798661, -0.19492618
9.14e-10, 0.25969576, 0.95162844, -0.16386425
9.16e-10, 0.26800806, 0.95424888, -0.13217544
9.18e-10, 0.27634897, 0.95579216, -0.099909974
9.2e-10, 0.28470191, 0.95620554, -0.06712141
9.22e-10, 0.29304965, 0.9554396, -0.033866229
9.24e-10, 0.30137482, 0.95344829, -0.00020362014
9.26e-10, 0.30966006, 0.95018904, 0.033804805
9.28e-10, 0.31788843, 0.94562276, 0.068095224
9.3e-10, 0.32604361, 0.93971386, 0.10260179
9.32e-10, 0.3341102, 0.93243022, 0.13725677
9.34e-10, 0.34207392, 0.92374317, 0.17199062
9.36e-10, 0.34992175, 0.91362749, 0.206732
9.38e-10, 0.35764204, 0.90206142, 0.24140791
9.4e-10, 0.36522456, 0.88902671, 0.27594364
9.42e-10, 0.37266058, 0.87450868, 0.31026285
9.44e-10, 0.37994264, 0.85849635, 0.3442877
9.46e-10, 0.3870648, 0.84098254, 0.37793876
9.48e-10, 0.39402246, 0.82196401, 0.41113509
9.5e-10, 0.4008122, 0.80144162, 0.44379452
9.52e-10, 0.40743176, 0.77942057, 0.47583366
9.54e-10, 0.41387988, 0.75591048, 0.50716818
9.56e-10, 0.42015616, 0.73092555, 0.53771312
9.58e-10, 0.42626115, 0.70448494, 0.56738269
9.6e-10, 0.432196, 0.67661269, 0.59609103
9.62e-10, 0.43796251, 0.64733786, 0.62375238
9.64e-10, 0.44356297, 0.61669488, 0.65028118
9.66e-10, 0.44900018, 0.5847234, 0.67559265
9.68e-10, 0.45427721, 0.55146833, 0.6996032
9.7e-10, 0.45939747, 0.51698009, 0.72223053
9.72e-10, 0.4643646, 0.48131449, 0.74339414
9.74e-10, 0.4691824, 0.44453267, 0.76301577
9.76e-10, 0.47385483, 0.40670118, 0.78101966
9.78e-10, 0.47838603, 0.36789168, 0.79733299
9.8e-10, 0.48278004, 0.32818111, 0.81188628
9.82e-10, 0.48704104, 0.28765132, 0.82461372
9.84e-10, 0.49117326, 0.24638902, 0.83545352
9.86e-10, 0.49518063, 0.20448552, 0.84434847
9.88e-10, 0.49906753, 0.16203653, 0.85124582
9.9e-10, 0.50283788, 0.11914193, 0.85609817
